,Title,Artists,Danceability,Energy,Loudness,Speechiness,Acousticness,Valence,Continent,id,Song URL
102,Lavender Haze,Taylor Swift,0.733,0.436,-20.00555802578924,0.08,0.258,0.098,Anglo-America,5jQI2r1RdgtuT8S3iG8zFC,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
103,No Role Modelz,J. Cole,0.69,0.521,-16.675744775455755,0.339,0.324,0.494,Anglo-America,68Dni7IE4VyPkTOH9mRWHr,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
104,Que Vuelvas,"Carin Leon, Grupo Frontera",0.491,0.643,-9.700978212538907,0.044,0.187,0.779,Latin-America,6Um358vY92UBv5DloTRX9L,https://open.spotify.com/track/6Um358vY92UBv5DloTRX9L
105,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",0.795,0.8,-2.5266562916851925,0.031,0.035,0.934,Europe,6JIC3hbC28JZKZ8AlAqX8h,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
106,アイドル,YOASOBI,0.574,0.935,-7.156514006224988,0.093,0.112,0.836,Asia,7ovUcF5uHTBRzUpB6ZOmvt,https://open.spotify.com/track/7ovUcF5uHTBRzUpB6ZOmvt
107,Sure Thing,Miguel,0.684,0.607,-16.067140951534014,0.1,0.027,0.498,Anglo-America,0JXXNGljqupsJaZsgSbMZV,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV
108,505,Arctic Monkeys,0.52,0.852,-12.297132058692753,0.054,0.002,0.234,Europe,58ge6dfP91o9oXMzq3XkIS,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
109,Players,Coi Leray,0.954,0.516,-12.215429079590933,0.16,0.03,0.624,Anglo-America,6UN73IYd0hZxLi8wFPMQij,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij
110,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",0.784,0.7,-11.335037794575364,0.04,0.011,0.204,Anglo-America,6l8mgVN9Xf1hiDIFGA6CTE,https://open.spotify.com/track/6l8mgVN9Xf1hiDIFGA6CTE
111,Someone You Loved,Lewis Capaldi,0.501,0.405,-11.985326811916408,0.032,0.751,0.446,Europe,7qEHsqek33rTcFNT9PFqLf,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
112,Nonsense,Sabrina Carpenter,0.74,0.697,-10.706425077812362,0.034,0.027,0.732,Anglo-America,6dgUya35uo964z7GZXM07g,https://open.spotify.com/track/6dgUya35uo964z7GZXM07g
113,lovely (with Khalid),"Billie Eilish, Khalid",0.351,0.296,-19.37194308581592,0.033,0.934,0.12,Anglo-America,0u2P5u6lvoDfwTYjAADbn4,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
114,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",0.647,0.686,-12.095375722543352,0.041,0.08,0.268,Latin-America,3k3NWokhRRkEPhCzPmV8TW,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
115,Search & Rescue,Drake,0.817,0.44,-16.659070698088044,0.073,0.06,0.544,Anglo-America,7aRCf5cLOFN1U7kvtChY1G,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G
116,Bebe Dame,"Fuerza Regida, Grupo Frontera",0.529,0.602,-10.234548688305914,0.046,0.299,0.756,Latin-America,0IKeDy5bT9G0bA7ZixRT4A,https://open.spotify.com/track/0IKeDy5bT9G0bA7ZixRT4A
117,Rara Vez,"Taiu, Milo j",0.838,0.708,-10.299577590040023,0.166,0.176,0.96,Latin-America,7MVIfkyzuUmQ716j8U7yGR,https://open.spotify.com/track/7MVIfkyzuUmQ716j8U7yGR
118,Don’t Blame Me,Taylor Swift,0.615,0.534,-13.719430858159186,0.039,0.106,0.193,Anglo-America,1R0a2iXumgCiFb7HEZ7gUE,https://open.spotify.com/track/1R0a2iXumgCiFb7HEZ7gUE
119,Without Me,Eminem,0.908,0.669,-7.229879946642953,0.074,0.003,0.662,Anglo-America,7lQ8MOhq6IN2w8EYcFNSUk,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
120,Riptide,Vance Joy,0.484,0.731,-13.677745664739888,0.038,0.431,0.51,Oceania,7yq4Qj7cqayVTp3FF9CWbm,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
